MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
29.85,3,7,0.429,2,5,0.4,2,2,1.0,0,4,4,6,2,0,1,3,10,11.5
29.33,6,12,0.5,3,6,0.5,0,0,0.0,2,2,4,2,0,0,0,3,15,11.2
26.37,5,9,0.556,4,7,0.571,0,0,0.0,0,2,2,1,2,0,1,2,14,11.2
36.82,9,19,0.474,1,4,0.25,1,2,0.5,3,5,8,6,1,0,6,4,20,11.1
33.53,7,12,0.583,2,4,0.5,0,0,0.0,4,3,7,6,0,0,6,3,16,11.1
24.98,4,10,0.4,2,6,0.333,2,2,1.0,2,4,6,1,1,2,0,3,12,11.1
27.83,6,14,0.429,2,7,0.286,0,0,0.0,0,3,3,5,1,0,0,3,14,10.8
27.7,4,6,0.667,2,3,0.667,1,1,1.0,0,3,3,1,0,1,0,0,11,10.7
34.78,6,14,0.429,2,6,0.333,2,4,0.5,2,7,9,2,0,1,2,2,16,10.6
33.33,7,16,0.438,5,12,0.417,0,0,0.0,0,3,3,1,1,0,1,4,19,10.6
35.32,6,12,0.5,4,7,0.571,0,0,0.0,1,1,2,1,1,1,1,5,16,10.4
33.45,4,5,0.8,1,1,1.0,0,0,0.0,1,2,3,2,1,2,1,2,9,10.4
13.62,5,7,0.714,0,0,0.0,3,4,0.75,0,2,2,0,0,0,0,0,13,10.3
26.52,2,6,0.333,1,5,0.2,2,2,1.0,2,7,9,4,0,1,0,2,7,9.8
32.3,4,13,0.308,0,2,0.0,5,7,0.714,1,12,13,4,0,2,2,4,13,9.6
21.18,3,7,0.429,0,2,0.0,4,4,1.0,1,3,4,1,1,0,0,0,10,9.6
32.62,6,17,0.353,0,2,0.0,0,1,0.0,4,7,11,3,1,1,1,1,12,9.4
28.05,5,10,0.5,2,6,0.333,1,1,1.0,1,6,7,2,2,0,3,4,13,9.3
11.18,3,4,0.75,1,1,1.0,1,2,0.5,0,1,1,3,1,1,0,2,8,9.3
29.3,4,11,0.364,0,4,0.0,1,1,1.0,1,5,6,2,3,0,0,1,9,9.1
36.92,4,12,0.333,1,4,0.25,7,13,0.538,3,4,7,3,1,0,3,3,16,9.0
21.3,2,2,1.0,0,0,0.0,1,2,0.5,4,7,11,3,0,0,1,3,5,8.8
24.88,3,4,0.75,3,4,0.75,0,0,0.0,0,2,2,0,0,1,0,0,9,8.7
25.22,4,8,0.5,2,4,0.5,2,2,1.0,3,3,6,0,0,0,2,1,12,8.6
11.55,4,6,0.667,3,5,0.6,0,0,0.0,0,2,2,0,0,0,0,1,11,8.6
18.63,4,6,0.667,3,5,0.6,0,0,0.0,1,5,6,1,0,0,1,5,11,8.3
21.12,4,7,0.571,0,0,0.0,2,2,1.0,4,4,8,0,1,0,3,1,10,8.3
23.35,5,15,0.333,4,11,0.364,2,2,1.0,0,2,2,2,1,0,2,1,16,8.1
18.8,3,8,0.375,1,4,0.25,2,2,1.0,2,4,6,1,0,0,0,0,9,7.9
18.15,3,7,0.429,0,0,0.0,1,2,0.5,4,4,8,4,0,0,1,2,7,7.9
24.28,3,16,0.188,0,4,0.0,8,10,0.8,3,5,8,3,0,0,1,0,14,7.9
18.87,3,3,1.0,0,0,0.0,0,0,0.0,2,3,5,3,1,0,1,4,6,7.9
21.17,5,8,0.625,3,6,0.5,0,0,0.0,1,0,1,1,0,0,1,5,13,7.8
18.18,3,6,0.5,3,5,0.6,2,2,1.0,0,2,2,0,0,0,0,2,11,7.8
16.2,3,5,0.6,2,2,1.0,0,0,0.0,1,1,2,3,2,0,1,5,8,7.8
35.85,3,10,0.3,1,4,0.25,3,4,0.75,2,3,5,2,1,0,0,2,10,7.7
29.97,4,9,0.444,0,0,0.0,0,0,0.0,3,7,10,3,1,1,2,4,8,7.7
9.77,2,5,0.4,0,2,0.0,5,5,1.0,3,3,6,0,0,1,2,1,9,7.6
26.43,6,14,0.429,2,6,0.333,0,0,0.0,2,5,7,4,0,0,4,2,14,7.5
19.58,3,8,0.375,3,7,0.429,2,2,1.0,1,1,2,1,1,0,1,2,11,7.5
11.63,3,4,0.75,0,0,0.0,0,0,0.0,1,0,1,2,1,1,0,2,6,7.4
21.35,4,8,0.5,1,3,0.333,0,0,0.0,0,0,0,3,2,1,2,1,9,7.4
37.97,4,13,0.308,0,6,0.0,1,1,1.0,2,7,9,3,2,0,1,2,9,7.3
22.55,4,10,0.4,0,2,0.0,5,9,0.556,1,3,4,1,1,0,1,3,13,7.1
14.93,3,6,0.5,2,5,0.4,1,1,1.0,0,1,1,0,1,0,0,1,9,6.9
18.32,3,6,0.5,0,2,0.0,0,0,0.0,0,2,2,2,3,1,1,3,6,6.5
27.48,4,9,0.444,2,6,0.333,0,0,0.0,2,1,3,2,1,1,2,4,10,6.5
13.68,3,5,0.6,0,0,0.0,1,1,1.0,0,3,3,2,0,2,2,0,7,6.4
20.38,4,8,0.5,0,1,0.0,2,2,1.0,0,1,1,3,0,1,2,2,10,6.3
23.03,1,1,1.0,0,0,0.0,1,2,0.5,1,6,7,2,1,0,1,0,3,6.2
20.78,4,10,0.4,0,3,0.0,2,3,0.667,1,2,3,0,0,1,0,0,10,6.2
17.57,2,6,0.333,1,1,1.0,2,2,1.0,1,1,2,2,0,0,0,0,7,6.0
16.47,2,7,0.286,1,4,0.25,3,4,0.75,1,2,3,3,0,0,1,0,8,5.9
12.38,4,8,0.5,1,3,0.333,0,0,0.0,2,1,3,0,0,1,0,4,9,5.8
36.8,2,7,0.286,1,5,0.2,4,4,1.0,0,2,2,2,0,0,0,3,9,5.7
12.32,2,4,0.5,0,0,0.0,2,2,1.0,2,1,3,1,1,2,2,3,6,5.6
21.67,2,4,0.5,2,2,1.0,0,0,0.0,2,4,6,4,1,0,4,2,6,5.6
16.47,1,2,0.5,1,1,1.0,1,2,0.5,0,1,1,4,0,0,0,1,4,5.3
17.57,2,5,0.4,0,1,0.0,1,1,1.0,0,5,5,1,2,0,0,3,5,5.3
26.38,4,9,0.444,2,6,0.333,0,0,0.0,0,1,1,2,0,0,1,2,10,5.2
20.17,4,7,0.571,2,5,0.4,0,0,0.0,0,0,0,1,0,0,1,3,10,5.2
17.8,1,4,0.25,0,0,0.0,2,2,1.0,2,6,8,2,0,0,0,3,4,5.0
35.65,2,5,0.4,2,3,0.667,1,2,0.5,1,2,3,4,0,1,3,2,7,4.9
20.43,2,7,0.286,0,4,0.0,2,3,0.667,0,6,6,1,0,1,0,0,6,4.7
18.88,2,4,0.5,1,2,0.5,0,0,0.0,0,0,0,5,0,0,1,2,5,4.7
25.28,2,8,0.25,2,4,0.5,4,4,1.0,0,2,2,4,0,0,2,5,10,4.6
24.73,2,5,0.4,1,3,0.333,2,2,1.0,0,2,2,1,0,0,1,0,7,4.6
31.48,2,11,0.182,0,5,0.0,4,4,1.0,2,9,11,3,1,1,2,6,8,4.6
18.9,0,4,0.0,0,1,0.0,3,5,0.6,3,2,5,1,2,2,1,2,3,4.4
14.47,2,2,1.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,2,4,4.3
4.88,2,3,0.667,2,3,0.667,0,0,0.0,0,0,0,0,0,0,0,1,6,4.3
11.8,2,4,0.5,2,4,0.5,0,0,0.0,0,1,1,1,0,0,0,2,6,4.2
18.12,1,2,0.5,1,2,0.5,0,0,0.0,1,2,3,1,2,0,1,2,3,4.2
21.67,1,5,0.2,1,3,0.333,0,0,0.0,0,2,2,2,2,2,0,3,3,4.1
13.37,3,4,0.75,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,4,7,4.1
18.62,1,6,0.167,1,6,0.167,2,2,1.0,1,3,4,1,1,1,0,3,5,4.0
26.77,4,8,0.5,1,4,0.25,0,0,0.0,0,1,1,1,1,1,3,2,9,3.9
15.72,2,5,0.4,0,0,0.0,0,0,0.0,0,1,1,3,2,0,1,2,4,3.9
22.03,2,8,0.25,1,2,0.5,1,2,0.5,1,4,5,2,2,0,1,3,6,3.9
21.5,0,0,0.0,0,0,0.0,1,2,0.5,1,3,4,3,0,1,0,3,1,3.8
5.08,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,1,0,1,0,0,2,3.8
26.53,1,3,0.333,1,2,0.5,0,0,0.0,0,0,0,9,1,0,4,2,3,3.8
15.72,4,7,0.571,0,2,0.0,0,0,0.0,1,2,3,1,1,0,2,5,8,3.7
7.87,2,2,1.0,0,0,0.0,1,2,0.5,2,0,2,0,0,0,1,2,5,3.6
28.8,0,5,0.0,0,1,0.0,0,0,0.0,0,2,2,8,1,1,0,2,0,3.6
4.43,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,1,0,0,0,0,3,3.4
4.88,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,1,0,0,0,0,3,3.4
26.52,2,8,0.25,0,2,0.0,4,6,0.667,0,1,1,3,2,1,3,3,8,3.3
3.2,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,1,0,0,1,3,3.3
6.22,2,4,0.5,1,3,0.333,0,0,0.0,0,1,1,1,0,0,0,2,5,3.2
19.3,2,7,0.286,2,5,0.4,1,2,0.5,1,1,2,1,1,0,2,0,7,3.2
